Pick up Date,Ref Number,Pick up location,Pick up State,Shipping Company,Ship Via,Deliver to,Dest. State,Region,DOA,Person requesting,Pallets,Est Cost
7-Jun,4800008822,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,7-Jun,Visible (WJ),2,$60.00 
7-Jun,4800008857R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,10-Jun,Visible (WJ),1,$60.00 
7-Jun,DTWPC05312019,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,10-Jun,Visible (WJ),3,$60.00 
13-Jun,4900003522,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,13-Jun,Visible (WJ),4,$60.00 
14-Jun,VerageCTN,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,17-Jun,Visible (WJ),1,$60.00 
17-Jun,DTWshakerbottle,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,17-Jun,Visible (WJ),1,$60.00 
18-Jun,4900003532R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,18-Jun,Visible (WJ),5,$60.00 
19-Jun,backpacksHR,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,19-Jun,Visible (WJ),1,$60.00 
24-Jun,4800008992,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,24-Jun,Visible (WJ),1,$60.00 
24-Jun,4900003540R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,25-Jun,Visible (WJ),10,$60.00 
24-Jun,4900003542R,Visible (WJ),Utah,Doterra Driver,Grround,Doterra Mfg,Utah,West,26-Jun,Visible (WJ),1,$60.00 
25-Jun,4800009036,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,26-Jun,Visible (WJ,7,$60.00 
27-Jun,4900003550R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,27-Jun,Visible (WJ),3,$60.00 
8-Jul,4900003563,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,8-Jul,Visible (WJ),4,$60.00 
9-Jul,4900003568R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,10-Jul,Visible (WJ),2,$60.00 
10-Jul,4800009208R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,10-Jul,Visible (WJ),1,$60.00 
10-Jul,4900003575R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,10-Jul,Visible (WJ),2,$60.00 
15-Jul,4900003581R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,15-Jul,Visible (WJ),2,$60.00 
15-Jul,4900003582,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,15-Jul,Visible (WJ),4,$60.00 
19-Jul,4900003587R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,19-Jul,Visible (WJ),3,$60.00 
24-Jul,4900003601R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,25-Jul,Visible (WJ),2,$60.00 
26-Jul,4900003607R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,26-Jul,Visible (WJ),1,$60.00 
1-Aug,4900003615,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,1-Aug,Visible (WJ),4,$60.00 
5-Aug,4900003622R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,5-Aug,Visible (WJ),3,$60.00 
7-Aug,DTWKoreaSample,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,8-Aug,Visible (WJ),1,$60.00 
8-Aug,4900003630R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,8-Aug,Visible (WJ),4,$60.00 
9-Aug,4800009543R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,9-Aug,Visible (WJ),1,$60.00 
9-Aug,4900003633,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,9-Aug,Visible (WJ),3,$60.00 
12-Aug,4900003638R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,12-Aug,Visible (WJ),1,$60.00 
12-Aug,4800009636R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,12-Aug,Visible (WJ),1,$60.00 
19-Aug,4900003649,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,19-Aug,Visible (WJ),6,$60.00 
20-Aug,4800009733,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,21-Aug,Visible (WJ),1,$60.00 
23-Aug,LindonTest ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,23-Aug,Visible (Wj),3,$60.00 
23-Aug,4900003653R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,23-Aug,Visible (Wj),3,$60.00 
23-Aug,4800009760R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,23-Aug,Visible (WJ),1,$60.00 
26-Aug,LindonTest2,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,26-Aug,Visible (WJ),1,$60.00 
26-Aug,DOTHR082119 ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,26-Aug,Visible (WJ),1,$60.00 
27-Aug,4800009805,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,28-Aug,Visible (WJ),1,$60.00 
29-Aug,4800009840R,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,29-Aug,Visible (Wj),1,$60.00 
29-Aug,4900003667,Visible (WJ),Utah,Doterra Driver,Ground ,Doterra Mfg,Utah,West,30-Aug,Visible (WJ),1,$60.00 
20-Sep,SanJosePCTR,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,20-Sep,Visible (WJ),1,$60.00 
20-Sep,PCTTour2019R ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg,Utah,West,20-Sep,Visible (Wj),6,$60.00 
4-Oct,4800010191,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg,Utah,West,7-Oct,Visible (WJ),1,$60.00 
15-Oct,4900003779R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg,Utah,West,16-Oct,Visible (WJ),1,$60.00 
15-Oct,FukuiRUorder ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg,Utah,West,15-Oct,Visible (WJ),1,$60.00 
15-Oct,MFGSHIELD-R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg,Utah,West,15-Oct,Visible (WJ),1,$60.00 
23-Oct,NewPack1017R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg,Utah,West,23-Oct,Visible (WJ),1,$60.00 
26-Aug,LindonTestSL,Visible (WJ),Utah,Scott Johnson,Ground,Doterra Mfg,Utah,West,27-Aug,Visible (Wj),12,$400.00 
18-Jun,4900003534OL,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg (Overlabel),Utah,West,18-Jun,Visible (WJ),3,$60.00 
5-Jul,4900003564OL ,Visible (WJ),Utah,Doterra Driver,Ground,Doterra Mfg (Overlabel),Utah,West,5-Jul,Visible (WJ),2,$60.00 
4-Sep,4800009878,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Mfg (Overlabel),Utah,West,4-Sep,Visible (WJ),7,$60.00 
17-Sep,4900003706OL,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Mfg (Overlabel),Utah,West,17-Sep,Visible (WJ),2,$60.00 
4-Oct,DGtoOVL-R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg (Overlabel),Utah,West,7-Oct,Visible (WJ),2,$60.00 
14-Oct,4900003775OL,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Mfg (Overlabel),Utah,West,14-Oct,Visible (WJ),2,$60.00 
3-Jun,4900003507OL,Visible (WJ),Utah,Scott Johnson,Ground,Doterra Mfg (Overlabel),Utah,West,7-Jun,Visible (WJ),17,$400.00 
6-Jun,4900003514OL,Visible (WJ),Utah,Scott Johnson,Ground,Doterra Mfg (Overlabel),Utah,West,6-Jun,Visible (WJ),7,$400.00 
11-Jun,4900003519OL ,Visible (WJ),Utah,Scott Johnson,Ground,Doterra Mfg (Overlabel),Utah,West,12-Jun,Visible (WJ),9,$400.00 
26-Jun,4900003546OL,Visible (WJ),Utah,Scott Johnson,Ground,Doterra Mfg (Overlabel),Utah,West,26-Jun,Visible (WJ),22,$400.00 
3-Sep,4900003673R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,3-Sep,Visible (WJ),3,$60.00 
5-Sep,4800009900R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,6-Sep,Visible (WJ),1,$60.00 
6-Sep,4900003677R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,6-Sep,Visible (WJ),6,$60.00 
6-Sep,4800009910R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,6-Sep,Visible (WJ),1,$60.00 
9-Sep,4900003678R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,10-Sep,Visible (WJ),2,$60.00 
9-Sep,4900003681R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,10-Sep,Visible (WJ),5,$60.00 
11-Sep,4900003691R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,12-Sep,Visible (WJ),3,$60.00 
11-Sep,4900003696R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,12-Sep,Visible (WJ),4,$60.00 
11-Sep,4900003702R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,12-Sep,Visible (WJ),1,$60.00 
11-Sep,4800009993R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,12-Sep,Visible (WJ),1,$60.00 
15-Sep,4900003705R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,16-Sep,Visible (WJ),5,$60.00 
16-Sep,4900003707R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,18-Sep,Visible (WJ),5,$60.00 
19-Sep,4900003716R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,20-Sep,Visible (WJ),5,$60.00 
20-Sep,4900003722,Visible (WJ),Utah,Dotera Driver,Ground,doTERRA Product Center,Utah,West,20-Sep,Visible (WJ),2,$60.00 
23-Sep,4900003723R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,24-Sep,Visible (WJ),3,$60.00 
23-Sep,4800010096R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,24-Sep,Visible (WJ),1,$60.00 
23-Sep,4800010124R ,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,24-Sep,Visible (WJ),4,$60.00 
24-Sep,4800010058R,Visible (WJ),Utah,Doterra Driver,Ground,doTERRA Product Center,Utah,West,24-Sep,Visible (WJ),1,$60.00 
1-Oct,4900003733R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,1-Oct,Visible (WJ),5,$60.00 
1-Oct,DOTHR092419,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,1-Oct,Visible (WJ),2,$60.00 
3-Oct,4800010237R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,3-Oct,Visible (WJ),1,$60.00 
3-Oct,4900003749R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,3-Oct,Visible (WJ),4,$60.00 
4-Oct,4800010319R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,4-Oct,Visible (WJ),3,$60.00 
7-Oct,4900003759R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,7-Oct,Visible (WJ),4,$60.00 
11-Oct,4900003764,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,11-Oct,Visible (WJ),9,$60.00 
14-Oct,4800010468R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,14-Oct,Visible (WJ),2,$60.00 
14-Oct,4900003770R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,14-Oct,Visible (WJ),4,$60.00 
17-Oct,4800010534,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,17-Oct,Visible (WJ),1,$60.00 
18-Oct,4800010621R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,18-Oct,Visible (WJ),1,$60.00 
18-Oct,4900003790R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,21-Oct,Visible (WJ),2,$60.00 
23-Oct,4900003797R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,23-Oct,Visible (WJ),5,$60.00 
23-Oct,4800010714R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,23-Oct,Visible (WJ),1,$60.00 
24-Oct,4900003803R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,24-Oct,Visible (WJ),2,$60.00 
24-Oct,4900003804,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,24-Oct,Visible (WJ),3,$60.00 
29-Oct,4900003817R,Visible (WJ),Utah,doTERRa Driver,Ground,doTERRA Product Center,Utah,West,29-Oct,Visible (WJ),1,$60.00 
29-Oct,4800010760R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,30-Oct,Visible (Wj),3,$60.00 
31-Oct,4900003827R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,31-Oct,Visible (WJ),6,$60.00 
31-Oct,4800010832,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,31-Oct,Visible (WJ),1,$60.00 
4-Nov,4900003840,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,4-Nov,Visible (WJ),1,$60.00 
7-Nov,4900003844R ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,7-Nov,Visible (WJ),4,$60.00 
7-Nov,4800010793ES ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,7-Nov,Visible (WJ),4,$60.00 
8-Nov,4800010971R,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Product Center,Utah,West,8-Nov,Visible (WJ),5,$60.00 
23-Oct,DOTSPA1017 ,Visible (WJ),Utah,doTERRA Driver,Ground,doTERRA Spa,Utah,West,23-Oct,Visible (WJ),1,$60.00 
3-Jun,FFE05302019R,Visible (WJ),Utah,Doterra Driver,Ground,FFE Solutions,Utah,West,3-Jun,Visible (WJ),1,$60.00 
23-Jul,FFE071919 ,Visible (WJ),Utah,Doterra Driver,Ground,Ffe Solutions,Utah,West,23-Jul,Visible (WJ),1,$60.00 
9-Aug,FFE080719,Visible (WJ),Utah,Doterra Driver,Ground,Ffe Solutions,Utah,West,12-Aug,Visible (WJ),1,$60.00 
3-Sep,FFE082819 ,Visible (WJ),Utah,Doterra Driver,Ground,FFE Solutions,Utah,West,3-Sep,Visible (WJ),2,$60.00 
16-Sep,FFE091019Kid ,Visible (WJ),Utah,Doterra Driver,Ground,FFE Solutions,Utah,West,16-Sep,Visible (WJ),2,$60.00 
16-Sep,FFE091019Kid ,Visible (WJ),Utah,Doterra Driver,Ground,FFE Solutions,Utah,West,16-Sep,Visible (WJ),1,$60.00 
4-Oct,FFE10219OilR ,Visible (WJ),Utah,doTERRA Driver,Ground,FFE Solutions,Utah,West,7-Oct,Visible (WJ),4,$60.00 
8-Aug,FFE080619R ,Visible (WJ),Utah,Scott Johnson,Ground,Ffe Solutions,Utah,West,8-Aug,Visible (WJ),12,$400.00 
14-Aug,FFE081319 ,Visible (WJ),Utah,Scott Johnson,Ground,Ffe Solutions,Utah,West,15-Aug,Visible (WJ),1,$400.00 
22-Aug,FFE82019PEPP,Visible (WJ),Utah,Scott Johnson,Ground,Ffe Solutions,Utah,West,22-Aug,Visible (WJ),31,$620.00 
22-Aug,FFE82019TURM ,Visible (WJ),Utah,Scott Johnson,Ground,Ffe Solutions,Utah,West,22-Aug,Visible (WJ),32,$640.00 
23-Aug,082119ConBag,Visible (WJ),Utah,Scott Johnson,Ground,Ffe Solutions,Utah,West,23-Aug,Visible (Wj),41,$800.00 
14-Aug,4900003639,Visible (WJ),Utah,Doterra Driver,Ground,Manufacturing (Lindon),Utah,West,14-Aug,Visible (WJ),1,$60.00 
12-Jul,4900003579OL,Visible (WJ),Utah,Doterra Driver,Ground,Manufacturing (Overlabel),Utah,West,12-Jul,Visible (WJ),2,$60.00 
25-Jul,4900003604OL,Visible (WJ),Utah,Doterra Driver,Ground,Manufacturing (Overlabel),Utah,West,26-Jul,Visible (WJ),9,$60.00 
8-Aug,4900003628OL,Visible (WJ),Utah,Doterra Driver,Ground,Manufacturing (Overlabel),Utah,West,8-Aug,Visible (WJ),2,$60.00 
22-Aug,4900003652OL,Visible (WJ),Utah,Doterra Driver,Ground,Manufacturing (Overlabel),Utah,West,23-Aug,Visible (WJ),10,$60.00 
10-Jul,4900003565OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,11-Jul,Visible (WJ),17,$400.00 
11-Jul,4900003572OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,11-Jul,Visible (WJ),17,$400.00 
23-Jul,4900003588OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,23-Jul,Visible (WJ),24,$400.00 
16-Aug,4900003641OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,16-Aug,Visible (WJ),18,$400.00 
28-Aug,4900003661OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,28-Aug,Visible (WJ),45,$400.00 
30-Jul,4900003609OL,Visible (WJ),Utah,Scott Johnson,Ground,Manufacturing (Overlabel),Utah,West,30-Jul,Visible (WJ),48,$800.00 
22-Aug,RUSSAM082119 ,Visible (WJ),Utah,Doterra Driver,Ground,Victor Fralof (PG),Utah,West,23-Aug,Visible (WJ),1,$60.00 
28-Jun,doTERRA-Labels ,Mariposa Labs,,Aries Global,Ground,Wasatch Labs,Utah,West,1-Jul,Kristin HIrst,2,$263.57 
20-Jun,CSB06202019,CSB,Utah,Aries Global,Ground,Capstone,Virginia,East,20-Jun,Valleri Mcleod,1,$214.29 
19-Jun,CSB06192019,CSB,Utah,Scott Johnson,Ground,Capstone,Virginia,East,19-Jun,Valleri Mcleod,5,$400.00 
14-Oct,DT68871691,Visible (WJ),Utah,Aries Global,Ground,Iserve,,Utah,17-Oct,Visible (WJ),4,$599.69 
5-Sep,GingDropGift,Visible (WJ),Utah,Doterra Driver,Ground,Logisitcs (Front Desk),,Utah,6-Sep,Visible (WJ),1,$60.00 
